"Población total (con información hasta localidad)",,,
"Entidad municipio y loc : Total",,,
,,,
"Consulta de: Población total con estimación   Por: Edad quinquenal   Según: Sexo",,,
,"Total","Hombres","Mujeres"
"Total","81,249,645","39,893,969","41,355,676"
"De 0 a 4 años","10,195,178","5,160,002","5,035,176"
"0 años","1,927,827","975,043","952,784"
"1 año","1,852,748","940,971","911,777"
"2 años","2,057,674","1,043,565","1,014,109"
"3 años","2,169,738","1,091,225","1,078,513"
"4 años","2,187,191","1,109,198","1,077,993"
"De 5 a 9 años","10,562,234","5,338,285","5,223,949"
"5 años","2,115,948","1,074,622","1,041,326"
"6 años","2,115,168","1,062,813","1,052,355"
"7 años","2,089,506","1,059,395","1,030,111"
"8 años","2,189,467","1,105,859","1,083,608"
"9 años","2,052,145","1,035,596","1,016,549"
"De 10 a 14 años","10,389,092","5,230,658","5,158,434"
"10 años","2,160,100","1,099,429","1,060,671"
"11 años","1,926,021","972,013","954,008"
"12 años","2,169,290","1,105,953","1,063,337"
"13 años","2,043,206","1,020,991","1,022,215"
"14 años","2,090,475","1,032,272","1,058,203"
"De 15 a 19 años","9,664,403","4,759,892","4,904,511"
"15 años","2,023,732","1,006,136","1,017,596"
"16 años","1,967,562","972,458","995,104"
"17 años","2,002,634","990,507","1,012,127"
"18 años","2,024,055","1,003,619","1,020,436"
"19 años","1,646,420","787,172","859,248"
"De 20 a 24 años","7,829,163","3,738,128","4,091,035"
"20 años","1,795,763","852,582","943,181"
"21 años","1,363,679","653,448","710,231"
"22 años","1,632,937","787,987","844,950"
"23 años","1,550,640","738,809","811,831"
"24 años","1,486,144","705,302","780,842"
"De 25 a 29 años","6,404,512","3,050,595","3,353,917"
"25 años","1,481,820","702,150","779,670"
"26 años","1,271,446","602,037","669,409"
"27 años","1,243,000","598,739","644,261"
"28 años","1,271,418","603,185","668,233"
"29 años","1,136,828","544,484","592,344"
"De 30 a 34 años","5,387,619","2,578,736","2,808,883"
"30 años","1,485,255","705,371","779,884"
"31 años","812,229","392,429","419,800"
"32 años","1,156,452","548,253","608,199"
"33 años","984,714","477,121","507,593"
"34 años","948,969","455,562","493,407"
"De 35 a 39 años","4,579,116","2,210,565","2,368,551"
"35 años","1,102,430","528,480","573,950"
"36 años","930,885","446,194","484,691"
"37 años","779,412","379,555","399,857"
"38 años","961,633","462,145","499,488"
"39 años","804,756","394,191","410,565"
"De 40 a 44 años","3,497,770","1,705,013","1,792,757"
"40 años","1,060,807","503,551","557,256"
"41 años","467,930","231,940","235,990"
"42 años","792,479","397,684","394,795"
"43 años","619,170","301,465","317,705"
"44 años","557,384","270,373","287,011"
"De 45 a 49 años","2,971,860","1,452,573","1,519,287"
"45 años","802,770","387,699","415,071"
"46 años","534,391","263,889","270,502"
"47 años","486,135","240,341","245,794"
"48 años","636,309","306,568","329,741"
"49 años","512,255","254,076","258,179"
"De 50 a 54 años","2,393,791","1,161,875","1,231,916"
"50 años","756,866","357,576","399,290"
"51 años","299,286","149,507","149,779"
"52 años","482,959","238,488","244,471"
"53 años","417,830","203,630","214,200"
"54 años","436,850","212,674","224,176"
"De 55 a 59 años","1,894,484","918,864","975,620"
"55 años","504,174","236,890","267,284"
"56 años","398,973","199,115","199,858"
"57 años","312,838","154,091","158,747"
"58 años","380,925","181,607","199,318"
"59 años","297,574","147,161","150,413"
"De 60 a 64 años","1,611,317","769,917","841,400"
"60 años","632,711","293,316","339,395"
"61 años","170,074","85,090","84,984"
"62 años","281,050","136,396","144,654"
"63 años","272,780","132,174","140,606"
"64 años","254,702","122,941","131,761"
"De 65 a 69 años","1,183,651","567,641","616,010"
"65 años","396,827","182,784","214,043"
"66 años","207,672","103,911","103,761"
"67 años","198,957","100,024","98,933"
"68 años","226,035","106,204","119,831"
"69 años","154,160","74,718","79,442"
"De 70 a 74 años","827,027","394,031","432,996"
"70 años","366,776","170,276","196,500"
"71 años","79,278","39,434","39,844"
"72 años","157,716","76,970","80,746"
"73 años","113,696","55,009","58,687"
"74 años","109,561","52,342","57,219"
"De 75 a 79 años","590,836","277,835","313,001"
"75 años","198,014","88,881","109,133"
"76 años","110,216","52,993","57,223"
"77 años","83,093","40,879","42,214"
"78 años","118,129","55,980","62,149"
"79 años","81,384","39,102","42,282"
"De 80 a 84 años","401,832","179,820","222,012"
"80 años","196,080","84,976","111,104"
"81 años","41,463","20,243","21,220"
"82 años","61,346","27,802","33,544"
"83 años","51,015","23,392","27,623"
"84 años","51,928","23,407","28,521"
"De 85 a 89 años","225,450","99,299","126,151"
"85 años","83,211","34,937","48,274"
"86 años","43,054","19,281","23,773"
"87 años","35,558","15,969","19,589"
"88 años","31,342","14,303","17,039"
"89 años","32,285","14,809","17,476"
"De 90 a 94 años","91,189","38,021","53,168"
"90 años","59,629","24,822","34,807"
"91 años","7,202","3,260","3,942"
"92 años","10,667","4,337","6,330"
"93 años","7,381","3,051","4,330"
"94 años","6,310","2,551","3,759"
"De 95 a 99 años","37,689","15,069","22,620"
"95 años","13,200","4,983","8,217"
"96 años","8,301","3,529","4,772"
"97 años","4,389","1,737","2,652"
"98 años","7,603","3,021","4,582"
"99 años","4,196","1,799","2,397"
"De 100 y más años","19,167","7,092","12,075"
"No especificado","492,265","240,058","252,207"
,,,
"Fuente: Censo General de Población y Vivienda 1990",,,
