"Población total",,,
"Entidad municipio y loc : Total",,,
,,,
"Consulta de: Población total con estimación   Por: Edad   Según: Sexo",,,
,"Total","Hombres","Mujeres"
"Total","97,483,412","47,592,253","49,891,159"
"De 0 a 4 años","10,635,157","5,401,306","5,233,851"
"0 años","2,061,431","1,049,375","1,012,056"
"1 año","2,026,317","1,032,353","993,964"
"2 años","2,102,170","1,066,929","1,035,241"
"3 años","2,169,299","1,096,664","1,072,635"
"4 años","2,275,940","1,155,985","1,119,955"
"De 5 a 9 años","11,215,323","5,677,711","5,537,612"
"5 años","2,250,886","1,141,835","1,109,051"
"6 años","2,235,729","1,127,877","1,107,852"
"7 años","2,235,275","1,136,250","1,099,025"
"8 años","2,270,639","1,148,153","1,122,486"
"9 años","2,222,794","1,123,596","1,099,198"
"De 10 a 14 años","10,736,493","5,435,737","5,300,756"
"10 años","2,256,844","1,148,443","1,108,401"
"11 años","2,087,234","1,059,986","1,027,248"
"12 años","2,185,691","1,113,464","1,072,227"
"13 años","2,104,224","1,061,041","1,043,183"
"14 años","2,102,500","1,052,803","1,049,697"
"De 15 a 19 años","9,992,135","4,909,648","5,082,487"
"15 años","2,090,034","1,043,559","1,046,475"
"16 años","1,990,081","983,663","1,006,418"
"17 años","2,043,689","1,008,292","1,035,397"
"18 años","2,088,225","1,025,513","1,062,712"
"19 años","1,780,106","848,621","931,485"
"De 20 a 24 años","9,071,134","4,303,600","4,767,534"
"20 años","1,926,366","913,756","1,012,610"
"21 años","1,613,827","763,563","850,264"
"22 años","1,907,661","910,954","996,707"
"23 años","1,827,599","864,660","962,939"
"24 años","1,795,681","850,667","945,014"
"De 25 a 29 años","8,157,743","3,861,482","4,296,261"
"25 años","1,807,349","853,213","954,136"
"26 años","1,623,304","765,000","858,304"
"27 años","1,628,036","773,031","855,005"
"28 años","1,608,605","762,754","845,851"
"29 años","1,490,449","707,484","782,965"
"De 30 a 34 años","7,136,523","3,383,356","3,753,167"
"30 años","1,810,657","862,502","948,155"
"31 años","1,158,527","549,960","608,567"
"32 años","1,520,939","716,655","804,284"
"33 años","1,345,386","639,214","706,172"
"34 años","1,301,014","615,025","685,989"
"De 35 a 39 años","6,352,538","3,023,328","3,329,210"
"35 años","1,400,700","666,545","734,155"
"36 años","1,306,140","616,696","689,444"
"37 años","1,132,935","541,580","591,355"
"38 años","1,322,518","630,821","691,697"
"39 años","1,190,245","567,686","622,559"
"De 40 a 44 años","5,194,833","2,494,771","2,700,062"
"40 años","1,427,065","676,287","750,778"
"41 años","778,452","375,372","403,080"
"42 años","1,196,305","585,327","610,978"
"43 años","925,881","442,495","483,386"
"44 años","867,130","415,290","451,840"
"De 45 a 49 años","4,072,091","1,957,177","2,114,914"
"45 años","1,024,667","496,056","528,611"
"46 años","757,310","362,005","395,305"
"47 años","711,356","342,981","368,375"
"48 años","824,930","392,432","432,498"
"49 años","753,828","363,703","390,125"
"De 50 a 54 años","3,357,953","1,624,033","1,733,920"
"50 años","976,434","468,085","508,349"
"51 años","483,460","236,555","246,905"
"52 años","705,985","346,541","359,444"
"53 años","583,615","283,089","300,526"
"54 años","608,459","289,763","318,696"
"De 55 a 59 años","2,559,231","1,234,072","1,325,159"
"55 años","614,546","294,814","319,732"
"56 años","541,408","265,559","275,849"
"57 años","443,908","215,714","228,194"
"58 años","505,616","239,241","266,375"
"59 años","453,753","218,744","235,009"
"De 60 a 64 años","2,198,146","1,045,404","1,152,742"
"60 años","705,971","333,656","372,315"
"61 años","277,947","133,907","144,040"
"62 años","410,275","195,866","214,409"
"63 años","419,888","200,547","219,341"
"64 años","384,065","181,428","202,637"
"De 65 a 69 años","1,660,785","779,666","881,119"
"65 años","471,925","219,354","252,571"
"66 años","309,911","148,157","161,754"
"67 años","299,570","143,923","155,647"
"68 años","323,837","148,499","175,338"
"69 años","255,542","119,733","135,809"
"De 70 a 74 años","1,245,674","589,106","656,568"
"70 años","438,446","205,361","233,085"
"71 años","146,798","70,926","75,872"
"72 años","251,367","120,086","131,281"
"73 años","205,106","96,663","108,443"
"74 años","203,957","96,070","107,887"
"De 75 y más años","1,843,852","838,181","1,005,671"
"75 años","259,787","120,497","139,290"
"76 años","172,713","83,501","89,212"
"77 años","138,147","67,481","70,666"
"78 años","173,143","82,061","91,082"
"79 años","121,480","57,657","63,823"
"80 años","197,287","87,392","109,895"
"81 años","59,996","28,284","31,712"
"82 años","87,528","39,714","47,814"
"83 años","69,506","31,262","38,244"
"84 años","69,559","30,678","38,881"
"85 años","89,461","37,504","51,957"
"86 años","61,189","26,762","34,427"
"87 años","52,146","22,691","29,455"
"88 años","44,875","19,728","25,147"
"89 años","42,380","18,356","24,024"
"90 años","57,693","23,953","33,740"
"91 años","15,215","6,657","8,558"
"92 años","19,786","8,103","11,683"
"93 años","15,755","6,506","9,249"
"94 años","13,557","5,624","7,933"
"95 años","17,902","6,950","10,952"
"96 años","12,270","4,941","7,329"
"97 años","8,735","3,533","5,202"
"98 años","11,197","4,522","6,675"
"99 años","12,788","5,795","6,993"
"100 y más años","19,757","8,029","11,728"
"No especificado","2,053,801","1,033,675","1,020,126"
,,,
"Fuente: INEGI. XII Censo General de Población y Vivienda 2000.",,,
