2005,2006,2007,2008,2009,2010
1985640,1962477,1942697,1926717,1912061,1898591
2010226,1967713,1944224,1924800,1909126,1894751
2068287,1995751,1953165,1929856,1910610,1895080
2145379,2055240,1982960,1940626,1917464,1898365
2239998,2132980,2043283,1971425,1929318,1906292
2273427,2228055,2121729,2032525,1961048,1919144
2230465,2262134,2217256,2111481,2022729,1951602
2203481,2220036,2251926,2207299,2102038,2013707
2204333,2193609,2210456,2242268,2197884,2093112
2206711,2194557,2184108,2200949,2232687,2188544
2204150,2196528,2184359,2174029,2190863,2222520
2202954,2192933,2184856,2172827,2162626,2179444
2200331,2189990,2179086,2171141,2159266,2149210
2191893,2185003,2173447,2162712,2154914,2143214
2173444,2173836,2165590,2154227,2143679,2136043
2145326,2152656,2151771,2143701,2132547,2122204
2115113,2122151,2128505,2127720,2119836,2108908
2084055,2090086,2096672,2103033,2102351,2094663
2047893,2057845,2064006,2070584,2076954,2076379
2008152,2021276,2031840,2037981,2044553,2050935
1971074,1981839,1995976,2006446,2012569,2019140
1937607,1945582,1957719,1971706,1982086,1988198
1904187,1913310,1922899,1934911,1948759,1959059
1871096,1881365,1892189,1901695,1913592,1927314
1838280,1849901,1861869,1872620,1882051,1893848
1808184,1818765,1832009,1843922,1854612,1863981
1783036,1790303,1802409,1815615,1827486,1838125
1763145,1766674,1775363,1787466,1800644,1812483
1747427,1748161,1752999,1761730,1773836,1786997
1733022,1733676,1735595,1740515,1749292,1761410
1715935,1720375,1722076,1724104,1729106,1737932
1694409,1704288,1709618,1711435,1713573,1718659
1668195,1683664,1694282,1699712,1701644,1703888
1636927,1658254,1674328,1685019,1690547,1692591
1600676,1627699,1649512,1665632,1676397,1682022
1562244,1592076,1619480,1641312,1657481,1668320
1526643,1554176,1584314,1611711,1633566,1649785
1490984,1518998,1546796,1576917,1604313,1626193
1452176,1483681,1511914,1539705,1569813,1597212
1412198,1445157,1476828,1505051,1532837,1562933
1370482,1405404,1438492,1470134,1498347,1526131
1327324,1363862,1398876,1431927,1463543,1491747
1284413,1320833,1357432,1392399,1425413,1457001
1240143,1278008,1314466,1351007,1385924,1418902
1194386,1233793,1271668,1308065,1344544,1379411
1147699,1188068,1227456,1265256,1301589,1338006
1099921,1141396,1181721,1221017,1258739,1295003
1051332,1093619,1135028,1175246,1214445,1252084
1002402,1045025,1087228,1128510,1168615,1207713
954089,996084,1038610,1080665,1121814,1161801
906887,947751,989647,1032005,1073906,1114917
860007,900521,941288,983005,1025189,1066930
815507,853613,894026,934604,976136,1018139
775006,809068,847086,887295,927677,969014
738072,768490,802491,840307,880301,920478
703938,731449,761828,795644,833248,873017
671029,697183,724670,754876,788493,825872
639492,664129,690257,717575,747595,781002
609331,632436,657040,682992,710131,739949
580545,602103,625168,649591,675353,702296
553104,573133,594643,617519,641745,667300
526856,545494,565467,586783,609453,633464
501576,519040,537611,557383,578485,600933
477013,493546,510928,529292,548846,569717
452957,468768,485201,502369,520507,539821
429383,444502,460192,476398,493331,511222
406394,420724,435701,451148,467105,483781
384002,397538,411707,426425,441607,457294
362118,374956,388313,402210,416645,431540
340730,352896,365536,378607,392208,406337
319925,331348,343297,355636,368397,381676
299758,310400,321590,333223,345236,357662
280218,290106,300502,311364,322655,334318
261295,270461,280089,290147,300656,311581
242987,251455,260350,269631,279326,289457
225257,233092,241276,249814,258725,268033
208056,215340,222884,230711,238876,247397
191402,198157,205148,212335,219791,227570
175399,181563,188024,194656,201475,208550
160137,165657,171531,177634,183900,190342
145874,150530,155770,161292,167030,172921
132611,136423,140826,145728,150894,156261
120052,123335,126928,131023,135582,140388
107349,110985,114067,117390,121176,125393
94541,98602,101986,104818,107870,111349
82530,86225,89971,93060,95642,98427
70617,74688,78071,81463,84258,86596
59991,63364,67052,70089,73134,75643
51901,53325,56355,59635,62337,65043
45639,45671,46965,49635,52523,54900
40223,39724,39791,40919,43245,45759
34703,34581,34178,34236,35206,37206
29470,29422,29342,29001,29050,29874
24567,24607,24587,24522,24237,24277
19868,20168,20221,20205,20151,19916
15711,16008,16268,16310,16297,16253
12159,12398,12649,12855,12888,12877
9185,9378,9576,9769,9928,9953
6758,6907,7061,7210,7356,7475
4828,4939,5057,5170,5278,5384
