"age","All Entidad de Defunción",,,,
"Lista GBD de 165","02. Agresiones (homicidios)",,,,
,,,,,
"Defunciones",,"Sexo",,,
"Año Registro","Edad en Años","Masculino","Femenino","No_Especificado","Grand Total"
"1979","Menores de 1 año",48,43,,91
,"1 año",12,13,,25
,"2 años",34,8,1,43
,"3 años",21,8,2,31
,"4 años",16,7,,23
,"5 años",11,8,,19
,"6 años",10,9,,19
,"7 años",12,2,,14
,"8 años",23,11,,34
,"9 años",16,6,,22
,"10 años",13,8,1,22
,"11 años",11,3,1,15
,"12 años",31,5,,36
,"13 años",31,11,,42
,"14 años",51,20,,71
,"15 años",64,18,1,83
,"16 años",112,11,,123
,"17 años",166,29,2,197
,"18 años",276,24,4,304
,"19 años",250,18,2,270
,"20 años",325,25,3,353
,"21 años",217,14,3,234
,"22 años",415,28,4,447
,"23 años",307,20,7,334
,"24 años",345,20,4,369
,"25 años",437,26,3,466
,"26 años",294,23,4,321
,"27 años",295,15,2,312
,"28 años",400,21,5,426
,"29 años",189,11,,200
,"30 años",446,26,9,481
,"31 años",125,6,1,132
,"32 años",262,17,3,282
,"33 años",184,8,3,195
,"34 años",182,9,2,193
,"35 años",466,26,5,497
,"36 años",227,8,2,237
,"37 años",172,11,1,184
,"38 años",303,17,4,324
,"39 años",165,12,2,179
,"40 años",391,18,2,411
,"41 años",77,6,2,85
,"42 años",201,16,3,220
,"43 años",150,4,3,157
,"44 años",116,6,1,123
,"45 años",319,29,2,350
,"46 años",129,6,2,137
,"47 años",97,7,,104
,"48 años",165,16,5,186
,"49 años",95,5,,100
,"50 años",228,17,3,248
,"51 años",43,3,,46
,"52 años",112,10,3,125
,"53 años",50,6,1,57
,"54 años",84,13,1,98
,"55 años",171,10,2,183
,"56 años",78,7,1,86
,"57 años",45,4,,49
,"58 años",86,8,1,95
,"59 años",34,3,,37
,"60 años",135,22,3,160
,"61 años",18,,1,19
,"62 años",35,4,,39
,"63 años",18,1,1,20
,"64 años",24,1,,25
,"65 años",84,9,3,96
,"66 años",21,2,,23
,"67 años",24,1,,25
,"68 años",34,2,1,37
,"69 años",30,3,,33
,"70 años",92,14,1,107
,"71 años",12,1,,13
,"72 años",21,4,1,26
,"73 años",8,1,,9
,"74 años",9,2,,11
,"75 años",44,7,1,52
,"76 años",8,3,,11
,"77 años",4,1,,5
